StatusCode,Description,CreatedDate
1,New Application,7/13/2017 22:29
2,Reserved,7/13/2017 22:29
3,New Account,7/13/2017 22:29
4,Current Account,7/13/2017 22:29
5,Past Due Account,7/13/2017 22:29
6,Restructured Account,7/13/2017 22:29
7,Lapsed Contract,7/13/2017 22:29
8,Contracted,7/13/2017 22:29
9,Uncontracted,7/13/2017 22:29
10,New Application with Documents,7/13/2017 22:29
11,Fully Paid,7/13/2017 22:29
12,Cancelled,7/13/2017 22:29
13,Existing,12/2/2017 0:00
CON,Contracted,12/2/2017 0:00
UNCON,Uncontracted,12/2/2017 0:00
