,TransactionNo,BranchID,ReservationDate,FinancingType,ClientID,SourceofSale,StatusCode,UnitCode,LotPrice,Vat,GrossLotPrice,SalesDisc,NetLotPrice,Misc,TCP,"INSERT INTO ReservationHDR (
    TransactionNo, BranchID, ReservationDate, FinTypeCode, ClientID,
    SourceCode, StatusCode, UnitCode, LotPrice, Vat, GrossLotPrice,
    SalesDisc, NetLotPrice, Misc, TCP
) VALUES ("
,012-2024-RS-000010,12,1/13/2024 13:37,SPOT,965226,AGT,11,ABC-9-19-A,63616.07,7633.93,71250.00,14250.00,57000.00,23750.00,80750.00,
"INSERT INTO ReservationHDR (
    TransactionNo, BranchID, ReservationDate, FinTypeCode, ClientID,
    SourceCode, StatusCode, UnitCode, LotPrice, Vat, GrossLotPrice,
    SalesDisc, NetLotPrice, Misc, TCP
) VALUES ( '021-2024-RS-000106'", '021-2024-RS-000106',21,1/20/2024 10:33,SPOT,965365,AGT,11,KLM-13-8-K,73660.71,8839.29,82500.00,16500.00,66000.00,27500.00,93500.00,
,014-2024-RS-000111,14,1/20/2024 12:13,SPOT,965367,AGT,11,EFG-3-12-V,99687.5,11962.5,111650.00,16747.50,94902.50,33350.00,128252.50,
,012-2024-RS-000017,12,1/20/2024 15:41,SPOT,965378,AGT,11,ABC-19-18-K,63616.07,7633.93,71250.00,14250.00,57000.00,23750.00,80750.00,
,012-2024-RS-000018,12,1/20/2024 16:07,SPOT,965378,AGT,11,ABC-19-18-L,63616.07,7633.93,71250.00,14250.00,57000.00,23750.00,80750.00,
,014-2024-RS-000112,14,1/22/2024 14:22,SPOT,965386,AGT,11,EFG-3-4-U,99687.5,11962.5,111650.00,16747.50,94902.50,33350.00,128252.50,
,018-2024-RS-000121,18,1/22/2024 16:57,INH,965391,AGT,11,HIJ-11-26-H,66964.29,8035.71,75000.00,0.00,75000.00,25000.00,100000.00,
,018-2024-RS-000128,18,1/25/2024 22:28,SPOT,965424,AGT,11,HIJ-11-20-T,66964.29,8035.71,75000.00,11250.00,63750.00,25000.00,88750.00,
,018-2024-RS-000138,18,1/29/2024 0:38,SPOT,965514,AGT,11,HIJ-11-18-P,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000140,18,1/29/2024 0:57,SPOT,965514,AGT,11,HIJ-11-18-Q,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000141,18,1/29/2024 1:01,SPOT,965514,AGT,11,HIJ-11-18-R,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000142,18,1/29/2024 1:05,SPOT,965514,AGT,11,HIJ-11-18-K,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000143,18,1/29/2024 1:09,SPOT,965514,AGT,11,HIJ-11-18-L,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000144,18,1/29/2024 1:16,SPOT,965514,AGT,11,HIJ-11-18-M,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000145,18,1/30/2024 1:22,SPOT,943948,AGT,11,HIJ-11-18-S,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000146,18,1/30/2024 1:30,SPOT,943948,AGT,11,HIJ-11-18-T,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000147,18,1/30/2024 1:35,SPOT,943948,AGT,11,HIJ-11-18-N,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000148,18,1/30/2024 1:42,SPOT,943948,AGT,11,HIJ-11-18-O,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000149,18,1/30/2024 2:09,SPOT,965517,AGT,11,HIJ-17-5-B,78348.21,9401.79,87750.00,17550.00,70200.00,29250.00,99450.00,
,018-2024-RS-000158,18,1/30/2024 17:31,SPOT,965598,AGT,11,HIJ-16-10-L,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
,018-2024-RS-000159,18,1/30/2024 17:44,SPOT,965595,AGT,11,HIJ-16-10-K,66964.29,8035.71,75000.00,15000.00,60000.00,25000.00,85000.00,
